Spend,Geography,Media Vertical,Media Name,Campaign Id,Product Category,Invoice
3333.333,Hyderabad,Digital,https://www.themediaant.com/digital/ipl-2023-advertising,INV011991,IT Product & Services,INV011991
3333.333,Pune,Digital,https://www.themediaant.com/digital/ipl-2023-advertising,INV011991,IT Product & Services,INV011991
3333.333,Chennai,Digital,https://www.themediaant.com/digital/ipl-2023-advertising,INV011991,IT Product & Services,INV011991
3322.18,Mumbai,Airport,https://www.themediaant.com/airport/mumbai-airport-advertising,INV011948,Services,INV011948
3150,All India,Digital,https://www.themediaant.com/digital/money-control-advertising,60fa52650fb6de00087de4a1,Home Decor & Construction,INV006817
3150,Delhi,Digital,https://www.themediaant.com/digital/money-control-advertising,6119f71d2eaad200080a9fb5,Home Decor & Construction,INV006945
3150,Mumbai,Digital,https://www.themediaant.com/digital/money-control-advertising,6119f71d2eaad200080a9fb5,Home Decor & Construction,INV006945
3150,Bengaluru,Digital,https://www.themediaant.com/digital/money-control-advertising,6119f71d2eaad200080a9fb5,Home Decor & Construction,INV006945
3150,Hyderabad,Digital,https://www.themediaant.com/digital/money-control-advertising,6119f71d2eaad200080a9fb5,Home Decor & Construction,INV006945
3150,Chennai,Digital,https://www.themediaant.com/digital/money-control-advertising,6119f71d2eaad200080a9fb5,Home Decor & Construction,INV006945
3000.53,All India,Newspaper,https://www.themediaant.com/newspaper/times-of-india-times-ascent-all-india-english-advertising,INV002497,IT Product & Services,INV002497
3000,Kochi,Outdoor,https://www.themediaant.com/outdoor/hoarding-kochi-72585,6363a44f129cc80007f46db7,Services,INV010189
2968,Mumbai,Digital,https://www.themediaant.com/digital/ipl-2021-on-hotstar-app-advertising,605d681c9b48312d3cecc88b,Finance,INV006195
2968,Bengaluru,Digital,https://www.themediaant.com/digital/ipl-2021-on-hotstar-app-advertising,605d681c9b48312d3cecc88b,Finance,INV006195
2968,Hyderabad,Digital,https://www.themediaant.com/digital/ipl-2021-on-hotstar-app-advertising,605d681c9b48312d3cecc88b,Finance,INV006195
2968,Pune,Digital,https://www.themediaant.com/digital/ipl-2021-on-hotstar-app-advertising,605d681c9b48312d3cecc88b,Finance,INV006195
2968,Delhi,Digital,https://www.themediaant.com/digital/ipl-2021-on-hotstar-app-advertising,605d681c9b48312d3cecc88b,Finance,INV006195
2968,Chennai,Digital,https://www.themediaant.com/digital/ipl-2021-on-hotstar-app-advertising,605d681c9b48312d3cecc88b,Finance,INV006195
2947.5,All India,Television,https://www.themediaant.com/television/aaj-tak-tv-advertising,INV005067,IT Product & Services,INV005067
2920.1,Bengaluru,Outdoor,https://www.themediaant.com/outdoor/bus-shelter-hsr-layout-bengaluru-30367,62e91f6c6fe7e40009c48509,IT Product & Services,"INV009579, INV009758, INV009992"
2833.333,Mumbai,Digital,https://www.themediaant.com/digital/ipl-2023-advertising,INV011843,IT Product & Services,INV011843
2833.333,Bengaluru,Digital,https://www.themediaant.com/digital/ipl-2023-advertising,INV011843,IT Product & Services,INV011843
2833.333,Hyderabad,Digital,https://www.themediaant.com/digital/ipl-2023-advertising,INV011843,IT Product & Services,INV011843
2833.333,Chennai,Digital,https://www.themediaant.com/digital/ipl-2023-advertising,INV011843,IT Product & Services,INV011843
2833.333,Pune,Digital,https://www.themediaant.com/digital/ipl-2023-advertising,INV011843,IT Product & Services,INV011843
2833.333,Delhi,Digital,https://www.themediaant.com/digital/ipl-2023-advertising,INV011843,IT Product & Services,INV011843
